uid,label_correta,label_prevista,score,score_Pedido de Informação,score_Pedido de Encomenda,score_SPAM
27391,Pedido de Informação,Pedido de Informação,0.9998086094856262,0.9998086094856262,0.00011543282744241878,7.591358735226095e-05
27390,Pedido de Informação,Pedido de Informação,0.9997941851615906,0.9997941851615906,0.0001270136417588219,7.874882430769503e-05
27182,Pedido de Informação,Pedido de Informação,0.9998007416725159,0.9998007416725159,0.00010988748545059934,8.943592547439039e-05
27018,SPAM,SPAM,0.9997518658638,0.00011244263441767544,0.0001357370347250253,0.9997518658638
27009,SPAM,SPAM,0.9997538924217224,0.00011267838272033259,0.00013345625484362245,0.9997538924217224
26995,Pedido de Informação,Pedido de Informação,0.999826967716217,0.999826967716217,7.490106509067118e-05,9.817197860684246e-05
26779,SPAM,SPAM,0.9997666478157043,0.0001098726352211088,0.00012351167970336974,0.9997666478157043
26730,SPAM,SPAM,0.9997590184211731,0.00013101276999805123,0.00010994863259838894,0.9997590184211731
26666,Pedido de Informação,Pedido de Informação,0.9998212456703186,0.9998212456703186,0.00010044754162663594,7.830961112631485e-05
26591,Pedido de Informação,Pedido de Informação,0.9998319149017334,0.9998319149017334,9.134149149758741e-05,7.672383799217641e-05
26505,Pedido de Informação,Pedido de Informação,0.9995367527008057,0.9995367527008057,9.503170440439135e-05,0.00036822009133175015
26057,Pedido de Informação,Pedido de Informação,0.9998189806938171,0.9998189806938171,9.986048098653555e-05,8.119575068121776e-05
26054,Pedido de Informação,Pedido de Informação,0.9998189806938171,0.9998189806938171,9.986048098653555e-05,8.119583071675152e-05
26016,Pedido de Informação,Pedido de Informação,0.9997914433479309,0.9997914433479309,0.00013155564374756068,7.694993109907955e-05
26007,Pedido de Informação,Pedido de Informação,0.9997931122779846,0.9997931122779846,8.321404311573133e-05,0.0001236799726029858
26004,SPAM,SPAM,0.9997448325157166,0.0001475839817430824,0.00010762151214294136,0.9997448325157166
25980,SPAM,SPAM,0.9997695088386536,0.00011525814625201747,0.00011526353046065196,0.9997695088386536
25634,Pedido de Informação,Pedido de Informação,0.9998136162757874,0.9998136162757874,0.00011392754095140845,7.247368193930015e-05
24501,Pedido de Informação,Pedido de Informação,0.9998111128807068,0.9998111128807068,0.00010363187902839854,8.532130595995113e-05
24351,Pedido de Informação,Pedido de Informação,0.9997995495796204,0.9997995495796204,0.00011995922250207514,8.059105311986059e-05
22737,Pedido de Encomenda,SPAM,0.9964901804924011,0.0032843509688973427,0.00022542291844729334,0.9964901804924011
22683,Pedido de Informação,Pedido de Informação,0.9998341798782349,0.9998341798782349,9.74735667114146e-05,6.827645847806707e-05
22561,SPAM,SPAM,0.9997598528862,0.00010530664440011606,0.00013485376257449389,0.9997598528862
22545,SPAM,SPAM,0.9997590184211731,0.00010588226723484695,0.00013505082461051643,0.9997590184211731
21288,Pedido de Informação,Pedido de Informação,0.9998045563697815,0.9998045563697815,0.00012336568033788353,7.211877527879551e-05
21173,Pedido de Informação,Pedido de Informação,0.9997959733009338,0.9997959733009338,0.00013068503176327795,7.342429307755083e-05
